TransactionID,Amount,Method,CustomerID,CompanyID,Timestamp,Hash
1,1102,Transfer,82,2,2024-12-11 19:33:36.223359,03e18850e76d6c6e3afc7f00d79e9613fa08fbd878b549a45b369ba5402014d3
2,1914,Credit,36,4,2024-12-11 19:33:36.223359,1e27da1071f8901dfc45992d9887ca00943d96579ec1b7e6a4c981f99c95af1d
3,3771,Transfer,95,2,2024-12-11 19:33:36.223359,8a56c4041f23adffa661b9a640e250fb3affe39f6a35a00a9f79152351c336cf
4,3418,Debit,70,2,2024-12-11 19:33:36.223359,52411983295560cbeb15b28133d9dfae752295935d2d9686a7d81f0c7a7a14b8
5,1383,Credit,5,1,2024-12-11 19:33:36.223359,7a2554d2d8d1d91c5778e7ec8368d70002e6067e271459aa49648c6de650ef04
6,3465,Credit,30,9,2024-12-11 19:33:36.223359,e5f6f6c7ae2ee5604dad1d785767030087c07a38ef73be83555a354697add5c1
7,3932,Transfer,72,4,2024-12-11 19:33:36.223359,8c7c62827510cded0ade9ccf3137500742f9c6bf6ee8c54bc1c39983b51b416e
8,2718,Credit,90,9,2024-12-11 19:33:36.223359,20fb966482dae50a66d11927fad900eacc6aaa031033767301e41610e172115d
9,2139,Credit,58,10,2024-12-11 19:33:36.223359,8515654613ebdf24205d2cc6856494da6498a8d03beb5f7239c146caf78de336
10,3859,Debit,98,3,2024-12-11 19:33:36.223359,f95008e17b296bb916916334e03af341fe6dc123bdb6d77b796bf1d75de49c53
11,1636,Credit,44,5,2024-12-11 19:33:36.223359,61c4014ffea7ecbf5abcf81bc25511288d1801abbd604f0bf3f6bcb76d1605f1
12,1418,Credit,98,6,2024-12-11 19:33:36.223359,47c6b3be1408de26240b6771d8ae032741107428533f3280435c661a9a233610
13,2470,Debit,49,2,2024-12-11 19:33:36.223359,4f16d654515b5d923d1cc6e08d38580ce820fea7971d0c3ec605c6f99817eb40
14,4305,Credit,78,5,2024-12-11 19:33:36.223359,6200095d9f007257517f323ef5966f8e7676a031c22077d932f15d1fd9bad43f
15,3196,Credit,94,8,2024-12-11 19:33:36.223359,b3b341af507425dca9e80d69af21401e910c6dbd3beff7b596a44a8488f7a345
16,3261,Debit,49,2,2024-12-11 19:33:36.223359,0c984eb4af18defd7c7255510ed51d1eedfa669963ce331994085a8b63adc9a1
17,4626,Debit,81,10,2024-12-11 19:33:36.223359,542f174db08b6d8fe4b61327b4347d8f11ce40e3d80c76e0ea57c4cb40dcb03e
18,3885,Credit,74,4,2024-12-11 19:33:36.223359,66fc81e290bab229d2eb1e130780977f9171ce1ea3d5249dc1a02e2eb766f6d3
19,4166,Debit,6,4,2024-12-11 19:33:36.223359,ac214038d10af20748db596b1036e0c026be80713a6bccc3bb23ecb74d3b22c5
20,4549,Credit,11,4,2024-12-11 19:33:36.223359,5bff69035bd800884d3c630f34b600175c8c6bf54166a1a95700a3e689609c34
21,2857,Transfer,49,5,2024-12-11 19:33:36.223359,e84e64cf3a5c22535def9d7ab282d0730db35e906198206fafc171be3414ebad
22,2516,Debit,47,3,2024-12-11 19:33:36.223359,661cd9d86d62f192fb688080ae89b3b9132b29903b0658e67eae26243e015868
23,3874,Transfer,27,5,2024-12-11 19:33:36.223359,5ad504ec3a7aac8633ce224e5f574d6937c22034c2fdd1a1ceb7fa4ea487057c
24,3495,Transfer,83,2,2024-12-11 19:33:36.223359,0845772b05e741108102b16c3961db2ebeb905a731a30712b0de30a0c2b7788e
25,3986,Credit,22,9,2024-12-11 19:33:36.223359,4b5d2c7ba418067aae956c1a3203cb7fb408e5e9e3f5bbcdf91625161c8abd33
26,2554,Debit,21,8,2024-12-11 19:33:36.223359,c33d97a863290f812e3e764e71ac41ee8efe40897f2a62bff9f0ac6eeb286bfb
27,1899,Transfer,82,9,2024-12-11 19:33:36.223359,86749e2186bd3e1bd2ba970e8b2a430120bb38686bd9d5acab80fd48caf9b73f
28,1938,Credit,42,1,2024-12-11 19:33:36.223359,200cf18ec4182aa3eb205b898c8dbddc0a771bf3eed4aaf34e84ddc54355dd64
29,2096,Credit,41,7,2024-12-11 19:33:36.223359,845eeab4d42069b8e494656456aeca7bc5fa0be1fe81f2935afd8794705339a2
30,4589,Transfer,28,10,2024-12-11 19:33:36.223359,8cd5daf4a2bec3c720bc6f493c4353715b4030bb19ff13e880074844f696fdc3
31,3684,Debit,41,4,2024-12-11 19:33:36.223359,3ab60aa52da4a7d4dbbb33922cfd2fa2d8a211069c0ff7a8c4d8fc84c3297c38
32,1585,Debit,51,8,2024-12-11 19:33:36.223359,f7217a8776e23015644dd228373d0eb2a6958481fde6ab7846680f405acda2a9
33,4051,Transfer,18,4,2024-12-11 19:33:36.223359,ed7a919692d7f2951c293c2234d2bb3b9e17332f5cc460225b3b8d23b35337af
34,4059,Transfer,69,5,2024-12-11 19:33:36.223359,bc0ba8dafd872a1ed0077e23e3d792d9c05d667c128f64533233654838dcf55a
35,2635,Debit,55,10,2024-12-11 19:33:36.223359,e1863bb8fe4d8c780c15acf77bf3dc0700a84ad54f1605cd12352fae756a7134
36,3087,Debit,29,3,2024-12-11 19:33:36.223359,915c310a7f791d01e6143f35a8e7ff914a88d1992f4e648ce3c47b08ea1e5337
37,4527,Credit,12,1,2024-12-11 19:33:36.223359,a178813c9594e63fa664e55adde57a826dbf5423df30f71b860a8c2ad75b1f70
38,4244,Transfer,20,3,2024-12-11 19:33:36.223359,749552cb79e4666ab83536503486026977d57338ea68c09c44bc21048b3b590f
39,1260,Debit,55,10,2024-12-11 19:33:36.223359,69bc6202a6a78290c48cd3e25100e0174e63fbe45d19f3214f391d1fa0e548cc
40,2917,Transfer,49,10,2024-12-11 19:33:36.223359,cf244735d1e09770b6499927f9e37931f51972cce21c70ba5f307fc9a9061674
41,4525,Credit,33,9,2024-12-11 19:33:36.223359,6fd27fac58a7b0c57028b75900ca86b4359a8c748900fccb5dae55debc3912b7
42,3792,Transfer,88,2,2024-12-11 19:33:36.223359,4d6354191d8f03e75d6bd4df34734a03f29bc26b73fd0df1d5aa850cba34d148
43,4148,Transfer,97,5,2024-12-11 19:33:36.223359,b50d1a9146860439997b7b19b2b46cbd83bf7702010164c60af90ca7de289e8a
44,2202,Debit,44,2,2024-12-11 19:33:36.223359,da9f69d24c26b83dd59dcaec150259751a7958740c6a495bca964c66c6703e9e
45,1013,Transfer,21,8,2024-12-11 19:33:36.223359,636c0ca98775bad7c83dc131980bb89a81b129bb7b3bd254823132c5cff8377b
46,4980,Transfer,93,5,2024-12-11 19:33:36.223359,5fc6e346aa7cba85524e62e9ee0f1b88998c29e1d99a1714fb01819ce5f7eda4
47,3079,Credit,98,3,2024-12-11 19:33:36.223359,60eb6dc09a287d6d4effdc18fabfecf7eb3a42bbea4a63c77a5035d86f2fce90
48,4447,Transfer,81,5,2024-12-11 19:33:36.223359,1815c5d884a59802a10854e07b439527bed1154d8a6f9aa2cd677392fc611821
49,1814,Credit,65,10,2024-12-11 19:33:36.223359,4a7e170023c769bbce41a1c11c464ac66f72b1bb6c02f4fa619150aa2b50fbb1
50,3209,Transfer,48,3,2024-12-11 19:33:36.223359,5f9be1be4bee85f642d39cebb1679b1dfff5d73b0d041f8ee6a7cc4522ecc1a6
51,2327,Debit,1,10,2024-12-11 19:33:36.223359,c1c13ed6ad39db3f0f5ebeaebad797d51cb388afa3490f8ec67bf92b3b1cde63
52,4805,Debit,3,2,2024-12-11 19:33:36.223359,ae3ed5e1e53fd16f7830444c00b9b82059bc8618dc238d4d9df2b068e3497e65
53,1237,Credit,40,4,2024-12-11 19:33:36.223359,7d19c6eb6ec065e00f3b5dbb3c30092994e507f11a007ea619453f75b003c8cb
54,1350,Transfer,73,2,2024-12-11 19:33:36.223359,14175836f9cb8f01ee0f1cf051ab295a82c7b6006e9522850bc8d34404e7e776
55,4115,Transfer,63,2,2024-12-11 19:33:36.223359,db13bfab51e09363801f1beb345eeccb9297835ec494dbf50933ad40adbf59ca
56,1525,Transfer,99,3,2024-12-11 19:33:36.223359,f9b26f50744ea322455ded83d181b732c2f8ec5c0af08aa7679e88c263609fbd
57,1676,Debit,61,9,2024-12-11 19:33:36.223359,26247918f0e99af5582ce9eeb7338c1248973af694db567d8943de19b4b71db0
58,2733,Credit,68,10,2024-12-11 19:33:36.223359,823e10088ad2056aef8cf70c8046d3fa5de436550eeda141bcee8c30800a2753
